Seed,Model,Feature_Set,Features,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
22,ExtraTrees,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.5969426881342874,0.23681137585689574,0.7837685775413125,124.0612441117524,56.90353563636355
22,LinearRegression,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-0.6497703151872463,2.8498299445072797,0.7122399591194533,143.11724670096177,74.44325376535286
22,Ridge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-0.632142561650616,2.8125577994019166,0.710804850860391,143.47367788151573,74.40169306790791
22,ElasticNet,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-0.6342356471453696,2.817057510946301,0.7106659919949485,143.5081186411124,74.39651570655853
22,BayesianRidge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-0.6355085469514842,2.818995716307749,0.710313485212815,143.59551276847128,74.38753967848865
22,SVR_RBF,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.11807874395293891,0.1552177158562953,0.1251216604323202,249.54597049280895,86.30092342366014
22,KNN,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-0.0605347199585415,1.6435673773355062,0.6276482358313121,162.79963892031355,67.7383311512613
22,GradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-2.19414672971408,5.728723190564392,0.671014368191635,153.02598894327772,62.859003499753996
22,HistGradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-0.5456185610730928,2.3015808321331086,0.6854258327829655,149.63674659049508,81.95299035727206
22,RandomForest,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-1.0599615668579883,3.640977423424599,0.6889330526529888,148.8002507418585,66.67840072727276
22,ExtraTrees,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,-0.28029189594202003,2.18066088165739,0.6952076965335505,147.29185355198575,66.88591381818192
22,LinearRegression,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.03565026825921595,1.583113436073048,0.8985150206781122,84.99191470688716,47.087958708549834
22,Ridge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.047706186642361814,1.5588585168557543,0.8979580942427443,85.2248037615126,47.11895370225955
22,ElasticNet,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.0462179650970473,1.5618719944274497,0.8978998315745788,85.24913060964316,47.12167777488862
22,BayesianRidge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.046198773945345196,1.5622090695318132,0.8978395598934054,85.274288993035,47.12546916970228
22,SVR_RBF,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.22712163247185266,0.2422223302903935,0.17613212460197503,242.16173186453273,76.48575185157131
22,KNN,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.0463812677229293,1.5163808232464944,0.7846238483975676,123.81564822463936,48.50300230397672
22,GradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,-1.9906006199268973,5.382479625243415,0.8245460466079642,111.75277304611474,42.36950268151335
22,HistGradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.1841653925054927,0.8589051529858079,0.6940749060558381,147.5653120109565,78.5629693409316
22,RandomForest,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,-0.6792020691855453,2.9824533599461476,0.8481523953685027,103.96345456697058,38.56511999999999
22,ExtraTrees,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,-0.25611055205203404,2.2047836584638874,0.8468225455081686,104.41770736959839,40.32254290909087
23,LinearRegression,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7949446201107696,0.12096193358949735,0.8922072407618354,50.05089857603083,34.82796090323208
23,Ridge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.796542108501028,0.12169885724698631,0.8924312260502316,49.99887052321651,34.7363644211572
23,ElasticNet,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7963666909266952,0.12161096076981644,0.8924903744573318,49.985122294578815,34.72067199266497
23,BayesianRidge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7974098649621897,0.12241310484611155,0.8924899526374734,49.9852203541545,34.69955006781362
23,SVR_RBF,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.1419207605423282,0.16147768222212122,0.30721790649382974,126.88649801966451,54.17509297089265
