Seed,Model,Outlier_Mode,CV_R2_Mean,Test_R2,Test_RMSE,Test_MAE
20,ExtraTrees,winsorize_1_99,0.7114695901579093,0.7937079193899574,87.40089010480597,37.658
20,KNN,none,0.6573509637191413,0.912700774092214,56.856454476482824,30.133490909090916
20,MLP,winsorize_1_99,0.8162782306120924,0.8251739455473609,80.45956045423884,40.00992759235605
21,Ridge,winsorize_1_99,0.7513540862598965,0.8838576135608714,55.403301230404196,33.15325411141036
21,ExtraTrees,winsorize_1_99,0.7892527136316337,0.8358908780355924,65.85771090285893,30.257532727272714
21,KNN,none,0.7121589888263979,0.9143815369840723,47.56899587221607,26.24669090909091
21,MLP,winsorize_1_99,0.763089516592545,0.8670859016869558,59.26875370938937,32.67654249358611
22,Ridge,winsorize_1_99,0.8819336221608429,0.7766474249757864,164.1447577476787,61.66565894346769
22,ExtraTrees,winsorize_1_99,0.9144129612923008,0.7824460825950923,161.99999060520287,55.47854545454545
22,KNN,none,0.8131022292290403,0.624986303894694,212.6939320103805,65.13745454545455
22,MLP,winsorize_1_99,0.8888913392236593,0.8084930838993968,151.99306289665,55.35084946452726
23,Ridge,winsorize_1_99,0.5549044537513702,0.9235215826797134,80.2166958927971,40.792054094598555
23,ExtraTrees,winsorize_1_99,0.5005831899499535,0.9299710118781747,76.7598732854867,31.544079999999948
23,KNN,none,0.6208950505405291,0.8373422079069566,116.9856951466522,34.6528
23,MLP,winsorize_1_99,0.7031654390528135,0.9490549471820148,65.47060165998816,33.06598291014914
24,Ridge,winsorize_1_99,0.48192412598436596,0.897417801464142,117.06123837466892,59.009260735599575
24,ExtraTrees,winsorize_1_99,0.38004871937147533,0.8825830871761513,125.23982197530961,49.830781818181784
24,KNN,none,0.531857497129364,0.8127096964978109,158.17387692950152,59.960109090909086
24,MLP,winsorize_1_99,0.6096497447678463,0.9139228977717514,107.23114217206611,49.81662553664631
25,Ridge,winsorize_1_99,0.7697087169032765,0.8981629040062931,93.65398212266874,39.80425033794449
25,ExtraTrees,winsorize_1_99,0.7252501727230162,0.9387667574862946,72.62177734463319,25.822880000000037
25,KNN,none,0.7063119151102255,0.851566770611173,113.0677664180364,39.14814545454546
25,MLP,winsorize_1_99,0.8092118455313331,0.9155928920184814,85.26342126870274,37.72473254622299
26,Ridge,winsorize_1_99,0.801794085372503,0.07446022134790498,134.67232660730193,53.28664770728422
26,ExtraTrees,winsorize_1_99,0.8695636285333388,-0.3684649271759626,163.7561631745822,41.17826181818185
26,KNN,none,0.7910601286599797,0.054063760108302494,136.14815193884797,43.11614545454546
26,MLP,winsorize_1_99,0.8631307906894694,0.28000841538053256,118.78033034406116,43.94099769999173
27,Ridge,winsorize_1_99,0.7225972098539513,0.8950737582179147,117.63620048735737,60.244818784838365
27,ExtraTrees,winsorize_1_99,0.7483627493984522,0.895049582675951,117.6497516975148,46.02507636363633
27,KNN,none,0.7438265432930574,0.8535389125878404,138.98248005819755,56.49596363636364
27,MLP,winsorize_1_99,0.7436106684926337,0.8991081949988396,115.35246404321187,52.73248709164975
28,Ridge,winsorize_1_99,0.8475336967682778,0.8272485164869663,41.713259204928214,28.69514881097722
28,ExtraTrees,winsorize_1_99,0.852682576976353,0.8486259718489501,39.04711174461618,21.67614727272727
28,KNN,none,0.7595953982273206,0.8210037546500406,42.46050860484149,25.43178181818182
28,MLP,winsorize_1_99,0.8620550795061458,0.8666505049260518,36.64872912576507,26.989310485610236
29,Ridge,winsorize_1_99,0.6078817730949434,0.9483493258307477,60.8294305510836,39.02382420950259
