Model,Feature_Set,Features,Seeds,CV_R2_Mean_Median,CV_R2_Mean_Mean,CV_R2_Mean_Std,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Median,Test_MAE_Mean,Test_MAE_Std,Test_R2_P2_5,Test_R2_P97_5
HistGradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.6014383064333041,0.5753858194811788,0.11222202649089556,0.6435207969659915,0.6327613618753284,0.15669423855553746,124.16726360702515,139.22995093707783,46.94090331613468,56.178966686132185,61.69003053238619,16.919099692553587,0.26059833144208766,0.8488860658409578
HistGradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",30,0.5661860628315203,0.5502120673475843,0.12149429221983354,0.6432003566074127,0.6128035011764426,0.16872622143696953,134.43359203142563,143.11397398192997,47.71246116982922,60.01010340717392,64.66533372846953,17.211921585787792,0.1849622159843191,0.8298569666292877
HistGradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.5419748163146123,0.49215964923424915,0.14051217775342265,0.5919244235108141,0.5532449853266428,0.1981393633129749,139.76489831649502,154.9404455480987,56.611136817767395,67.52433996031414,68.78204740835668,17.88295860141725,0.04786249325590626,0.8207486074619127
RandomForest,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.6092780498460207,0.6114936871316555,0.11392027216462168,0.5731820213131595,0.5767753574516016,0.23123493167172934,133.34971353796482,150.4892997302659,61.33628775311763,52.15481345454542,56.48200833939392,19.17641826403811,0.05116201648166349,0.8626045221982334
HistGradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.33866931274306145,0.26548339219576267,0.2690666172695554,0.5731226010677131,0.38039289226318085,0.3706774137555272,170.08690369404204,170.70210450009557,41.057451505854594,77.3214150637458,78.89066385424961,17.749968609227153,-0.550277702065286,0.7121470954225143
GradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.5801670617950987,0.5613516481893698,0.14923241437986642,0.5617094842277378,0.4648169013790051,0.43858811031092665,160.6137772697933,160.80419652283646,61.124271304335494,60.56084008924985,61.09887053902806,19.6905696161386,-0.8025218580229551,0.859398250599819
KNN,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.6351629075958358,0.6304948776780717,0.08405036942735263,0.555640951049572,0.5640887737533906,0.18487263557010422,134.8297992279813,155.65595360115861,64.90570929452468,58.7822399859861,59.87731797913114,17.71278051148267,0.22905236116890335,0.8206538731606504
BayesianRidge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.6432964419364291,0.6100339431732436,0.12931175054043464,0.5535354868668909,0.512624541516477,0.26370790472184547,138.03500647052618,160.72846608014015,69.78836788482079,69.74269289456507,71.13980040535515,21.562471208112708,-0.02042512584187177,0.8728234849245018
ElasticNet,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.6434081828780558,0.6104532826740839,0.1281320614196601,0.5534833439749626,0.5121409493643375,0.26339598922360824,137.9987044996123,160.75803953127493,69.69944552191932,69.77841866171852,71.11713609263941,21.5449973957156,-0.019524648749332456,0.874286301172948
Ridge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.6434813818593265,0.6106222748091688,0.12798928305478982,0.553414917141106,0.5119424427638389,0.26350469382084135,137.99353930715364,160.78602044705426,69.7168988026753,69.79158722271188,71.12913654578911,21.55705459347419,-0.020090731668321028,0.874373444471255
LinearRegression,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.6427452931880707,0.6090872056277455,0.12934390931414613,0.5527281066227454,0.5100556299516511,0.2642865652299981,137.94715097385395,161.0586723612865,69.89388793939807,69.88574902429926,71.22149634950271,21.69562968507297,-0.024683893595117273,0.8753961906190508
HistGradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.5020929497117439,0.4737258801650913,0.11607852015066929,0.5499533895520745,0.47071191358984177,0.24085339059587596,152.77452119780997,163.9801556833758,46.16076957758579,72.29954508235625,74.45480952259793,15.933622489244215,-0.06670611841762761,0.7797643316217903
SVR_RBF,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.1881092678538156,0.1893246147633757,0.03595074690769754,0.23060181745590586,0.2565534907063355,0.16031971711070817,207.62350913879388,213.35928434116497,89.99825554442673,74.45185663494566,73.36079914253517,27.068641267859398,0.056269247147398095,0.6154676196349776
SVR_RBF,All_features,"pH, Fe, Mn, Al, SO4",30,0.15206098283593472,0.1556106828599684,0.034444339127086165,0.19732808538506802,0.21619971311454836,0.1539564622107931,212.97312298866268,218.59447319153017,90.49906756425078,77.03783006602524,75.88806658072045,27.31541993631424,0.023964260398950377,0.5662863695726758
SVR_RBF,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.15569507479022993,0.1540008992206935,0.033003436295773916,0.18429689714582564,0.21438302034353754,0.15282574314600036,213.95625837204835,218.8192681193276,90.35327351556136,77.40769747595516,75.77947898796911,27.255487801342934,0.02396552898715691,0.5518110428991999
SVR_RBF,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.14281978290899305,0.14055908546669313,0.03631253402090483,0.16236976346942222,0.1857402887233663,0.1364591280598493,218.29239411152287,221.9026215135101,88.70595199737171,79.63406934244458,77.37860097384814,27.380848590114525,0.016516989176521144,0.5281245114891586
SVR_RBF,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.10656666754451347,0.10589620676804593,0.02483099539954828,0.14397346512943554,0.15829601604546084,0.12299887357976824,216.82496450239995,225.25132107558346,88.85989522534268,83.70779677269019,82.52572695415246,27.72508939190653,-0.001531180367115522,0.4431839537983835
