Seed,Model,Feature_Set,Features,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
40,ExtraTrees,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7125954343014115,0.1739470271683589,0.9639867027802699,49.282421625076104,26.437316363636228
41,LinearRegression,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7349984318645093,0.18825545551839734,0.9413436574021846,63.551937993919594,37.57232454715997
41,Ridge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7388137262887048,0.18212544559579383,0.9411106766924118,63.67802582607895,37.49985022260081
41,ElasticNet,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7383647722483927,0.18284362739584978,0.9410903910694679,63.68899247611064,37.49006090619182
41,BayesianRidge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7389285294885368,0.18211282041106328,0.9409640604913126,63.757245843030226,37.462256088687596
41,SVR_RBF,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.14456552684828744,0.06879483609805405,0.11366300345510127,247.04197323323928,73.56491918547303
41,KNN,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8105524090007761,0.07333660831835939,0.8376507936698687,105.72955241786502,36.08666557433578
41,GradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.36748580583648416,0.8335872961428469,0.7928426198534375,119.43222241297151,34.11973198689115
41,HistGradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.6801829988145786,0.10070720477616271,0.7410917078024095,133.5193744047146,63.083572037914024
41,RandomForest,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.5964574291440438,0.3975164399568016,0.8538360009918733,100.32092252018039,29.663265454545474
41,ExtraTrees,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7021842266014711,0.32416060603350677,0.8544851886564737,100.09788681226038,30.466227999999976
41,LinearRegression,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.740613199937439,0.1769347785697028,0.9471994151006535,60.29630172992737,34.499504038795045
41,Ridge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7439751447732024,0.17179367621412753,0.9465154064469938,60.685601191042394,34.57062359688021
41,ElasticNet,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7435493426830894,0.1724395230267167,0.9464535664243041,60.72067404628506,34.57501195839712
41,BayesianRidge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7437343238217954,0.17226884363361442,0.9462905467995796,60.813034435938285,34.59321426149691
41,SVR_RBF,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.13250138207195863,0.06318682026781104,0.10202056063110476,248.6591846479424,73.5961241688639
41,KNN,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7565131939896137,0.1347103391769751,0.829672555390634,108.29630130498045,39.001426215798176
41,GradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.4084456358042649,0.8072458549900648,0.8839336190107532,89.39732635594623,29.24330746733325
41,HistGradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7062516618447912,0.08343362565571094,0.7591035347003022,128.79129871632824,57.71367833482808
41,RandomForest,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.6004784764777186,0.4563869462006845,0.871772933875677,93.96392760508603,28.826611636363666
41,ExtraTrees,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.6418596858465496,0.413189316635494,0.887821190010244,87.88742151596387,29.35888727272726
41,LinearRegression,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.5814258530766011,0.20771439272983339,0.8058262905343914,115.62893417471393,58.292274989829956
41,Ridge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.5837154907797306,0.20563639703262943,0.8063511134162875,115.47256446947642,58.290636493298926
41,ElasticNet,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.5834405362801162,0.20588583284165884,0.8064149416019128,115.4535325714742,58.28703013265249
41,BayesianRidge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.5858062367012385,0.20297558018853276,0.8069918679097992,115.28136566536907,58.29992329565331
41,SVR_RBF,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.12704664840864455,0.0688554887864993,0.08884023717309808,250.4774165295589,74.23579510446895
41,KNN,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6742571089579538,0.164152046887498,0.8116574436429865,113.87949672690307,44.81196005065824
41,GradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6615134039842544,0.1923356817826538,0.9492689303331509,59.102835717894564,32.436929061135466
41,HistGradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.601228866379873,0.14594420478611064,0.7613797667717244,128.18137965727374,60.4938109960899
41,RandomForest,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6428601302984771,0.20005188939705418,0.8527420554283343,100.69564218262023,42.62546836363636
41,ExtraTrees,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.7112207570190204,0.17993770620524097,0.8217367126270704,110.79043418547458,47.96729127272724
41,LinearRegression,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6535939045891297,0.3015272027076846,0.7384421834250117,134.2008172092341,69.63706383175123
41,Ridge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6554809955682085,0.2951830253683874,0.7366946272835817,134.64839135546464,69.54200950441536
41,ElasticNet,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6552604128387188,0.2959542364716596,0.7365246031204489,134.69185758872567,69.5296837424717
41,BayesianRidge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6538910441745756,0.29645270731884027,0.7360006321499253,134.82572126491016,69.50581797180708
41,SVR_RBF,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.08855096440622004,0.03963457606016992,0.12252152355626966,245.80433909203902,77.6374736677488
41,KNN,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.7087411828990572,0.13877261071419306,0.6980919798941794,144.18119935930258,55.05396394181939
41,GradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.2647758711391702,0.9097321920964739,0.6920270222813015,145.62220904079572,54.063108789462056
41,HistGradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6175686841059203,0.06733765876488879,0.4996403704782557,185.6147308469641,84.0705248863635
41,RandomForest,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.49075225865413985,0.4916604061952766,0.6883048093937867,146.4995731902711,59.62426254545452
41,ExtraTrees,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.5387325290301204,0.5319388591634521,0.7327967649426887,135.64136911516053,54.3533621818181
41,LinearRegression,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7526678565518028,0.16207795715442203,0.9404691591908972,64.02392823289426,37.0314518522554
41,Ridge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7550157966224995,0.15867872225672944,0.9400768399528897,64.23454655637464,37.02797608069604
41,ElasticNet,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7547194781815216,0.1591059170851379,0.9400405045106281,64.25401846797867,37.02685940763903
41,BayesianRidge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7549738212963976,0.1588645346815645,0.9399572295691685,64.2986226880468,37.02689868069548
41,SVR_RBF,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.1741914736336567,0.0726387027983934,0.15076175463295782,241.8165835086232,69.896852793696
41,KNN,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7986744587398892,0.08308440879139846,0.8648119989704498,96.48068582996277,32.64498245601936
41,GradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.2790498709476891,0.907627086034058,0.7518181155553054,130.72430685100963,39.13268072278335
41,HistGradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.6012816048278674,0.11484388190495981,0.6637415580667774,152.16259527717932,66.72739420926419
41,RandomForest,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.5944483305709264,0.3807451418084605,0.8692774308745403,94.8738655957439,30.65358472727272
41,ExtraTrees,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.6630345369264818,0.356571399279285,0.8906625897039944,86.76722348078341,28.682217818181815
