Seed,Model,Outlier_Mode,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
7,KNN,none,218,55,0.792403932631466,0.13902383126357054,0.9306355623334611,52.21573537026141,25.090353939822513
7,Ridge,none,218,55,0.8067455026620619,0.12007188159335452,0.8550026563515669,75.49409560727848,33.18480346396211
7,MLP,none,218,55,0.6455032321249561,0.2676254837847746,0.8544376527296261,75.64103956090122,31.856584836465455
7,RandomForest,iqr_remove,163,55,0.6284483387011324,0.22633069194016542,0.37160111722022726,157.16312870731622,57.427716000000096
7,ExtraTrees,iqr_remove,163,55,0.7514701633875505,0.12451786530845532,0.38284009374484396,155.75134867587568,56.413132363636514
7,KNN,iqr_remove,163,55,0.6662451151909772,0.09709059855113442,0.1943657627187647,177.95160972068962,67.44653485147882
7,Ridge,iqr_remove,163,55,0.6340941145644691,0.1906651897869961,0.6740062619701381,113.19769737691063,45.13757848666017
7,MLP,iqr_remove,163,55,0.6084330577915144,0.14559822406861767,0.5691919819763225,130.12922777992117,57.69010021354895
7,RandomForest,winsorize_1_99,218,55,0.7438680920914735,0.1285821054329118,0.9110815866974866,59.11923639943565,25.099599636363635
7,ExtraTrees,winsorize_1_99,218,55,0.7841810516651677,0.1219371720004679,0.8746318266551357,70.1983028968165,30.17582690909093
7,KNN,winsorize_1_99,218,55,0.7933559160249714,0.15822196838243496,0.9197019824745769,56.1804709307579,27.110931148695844
7,Ridge,winsorize_1_99,218,55,0.7911019609021359,0.12243457801172902,0.8809365301515358,68.41041598549906,34.46681142110671
7,MLP,winsorize_1_99,218,55,0.7124557305672439,0.22760510360038572,0.8958914621414238,63.96996856895684,32.32273214616188
8,RandomForest,none,218,55,0.8077123211174028,0.13884517853812894,0.7495086971018584,183.70865220974346,68.16111345454533
8,ExtraTrees,none,218,55,0.8124516562867999,0.17222842058517301,0.755392719845394,181.5381788668919,66.60979236363622
8,KNN,none,218,55,0.8031989825966583,0.10733659506934003,0.6853602893143964,205.89227489649656,72.62018973108233
8,Ridge,none,218,55,0.8209862328803629,0.15975608175836223,0.7517651781926875,182.87933622198452,66.27616884280923
8,MLP,none,218,55,0.5371976914597015,0.12792016547918025,0.7638223376224094,178.38268433884838,68.35912993477878
8,RandomForest,iqr_remove,165,55,0.7450508792944032,0.08527984608946265,0.22099813806370816,323.96831192948554,110.53410036363647
