Stratify_Col,Seed,Model,Outlier_Mode,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean
pH,7,ExtraTrees,none,0.8816503090175444,68.20504941696487,29.53980072727275,0.7998154002300568
pH,7,KNN,none,0.9306355623334611,52.21573537026141,25.090353939822513,0.792403932631466
pH,7,Ridge,none,0.8550026563515669,75.49409560727848,33.18480346396211,0.8067455026620619
pH,7,MLP,none,0.8544376527296261,75.64103956090122,31.856584836465455,0.6455032321249561
pH,7,RandomForest,winsorize_1_99,0.9110815866974866,59.11923639943565,25.09959963636364,0.7438680920914734
pH,7,ExtraTrees,winsorize_1_99,0.8746318266551358,70.19830289681649,30.175826909090926,0.7841810516651677
pH,7,KNN,winsorize_1_99,0.9197019824745769,56.1804709307579,27.110931148695844,0.7933559160249714
pH,7,Ridge,winsorize_1_99,0.8809365301515358,68.41041598549906,34.46681142110671,0.7911019609021359
pH,7,MLP,winsorize_1_99,0.8958914621414238,63.96996856895684,32.32273214616188,0.7124557305672439
pH,8,RandomForest,none,0.7495086971018583,183.7086522097435,68.16111345454533,0.8077123211174028
pH,8,ExtraTrees,none,0.7553927198453939,181.5381788668919,66.60979236363622,0.8124516562867997
pH,8,KNN,none,0.6853602893143964,205.89227489649656,72.62018973108233,0.8031989825966583
pH,8,Ridge,none,0.7517651781926875,182.87933622198452,66.27616884280923,0.8209862328803629
pH,8,MLP,none,0.7638223376224094,178.38268433884838,68.35912993477878,0.5371976914597015
pH,8,RandomForest,winsorize_1_99,0.7650606549810461,177.91442523256208,69.49699890909078,0.7545394923571412
pH,8,ExtraTrees,winsorize_1_99,0.8019446633146041,163.35279121615363,62.558640363636194,0.757838684493985
pH,8,KNN,winsorize_1_99,0.7112295143668964,197.24667305157166,70.123295257465,0.7917241444565642
pH,8,Ridge,winsorize_1_99,0.7648316575938249,178.00111146955757,70.67638904919446,0.7756050251026447
pH,8,MLP,winsorize_1_99,0.797694471751769,165.0962315978767,61.060178344178354,0.5931243486157631
pH,9,RandomForest,none,0.8594133769480952,81.1363403442727,34.44000399999988,0.7893757026647032
pH,9,ExtraTrees,none,0.8417015575897109,86.09575447420096,36.678972727272516,0.8237112873491957
pH,9,KNN,none,0.8511745783183843,83.47991078560877,35.07834212360639,0.8058558591300298
pH,9,Ridge,none,0.8545090081570912,82.53943043079599,43.19863473031922,0.8390148761986149
pH,9,MLP,none,0.08863176228399938,206.58099258459532,97.1803706019655,0.6465484219778798
pH,9,RandomForest,winsorize_1_99,0.8585792526546979,81.3766822126454,34.545870909090794,0.7926683871376148
pH,9,ExtraTrees,winsorize_1_99,0.846018005298287,84.91382140222275,35.49113527272706,0.8350276636794801
pH,9,KNN,winsorize_1_99,0.8456215203133415,85.0230725227027,36.94757941014164,0.7746253315384821
pH,9,Ridge,winsorize_1_99,0.8064171591161351,95.20874595512645,52.469225128690596,0.8355263761113202
pH,9,MLP,winsorize_1_99,0.10719316533621714,204.46650263121032,96.71965936900109,0.6196635156457913
pH,10,RandomForest,none,0.9025180753032744,87.49840845245166,45.11942800000017,0.5537999187018571
pH,10,ExtraTrees,none,0.8738882651911852,99.52125770593001,49.920256363636376,0.6956381644154175
pH,10,KNN,none,0.9200368015604409,79.24706459027381,41.65579982344091,0.6879264143410811
pH,10,Ridge,none,0.9229519916306774,77.78911209138101,45.5789482189984,0.6797450257466505
pH,10,MLP,none,0.9139374413552044,82.21389662670771,44.72821222357712,0.5851568058292929
pH,10,RandomForest,winsorize_1_99,0.9129637707879147,82.67765296083815,43.30038727272741,0.5299065385119355
pH,10,ExtraTrees,winsorize_1_99,0.8801481816104202,97.01980995828576,47.229397454545456,0.6183691422103885
pH,10,KNN,winsorize_1_99,0.9547566410750834,59.60950642815124,33.16284514952399,0.6785745740711596
pH,10,Ridge,winsorize_1_99,0.9097582717264899,84.18637468446464,49.832884987877115,0.6311921344747738
pH,10,MLP,winsorize_1_99,0.9149763216379357,81.71617893727439,47.434214398822796,0.5823965106617595
pH,11,RandomForest,none,0.9198946267520441,25.939390611808278,15.144617090909101,0.7377570709940915
pH,11,ExtraTrees,none,0.9156661533813916,26.615210158069416,15.382795636363664,0.8002816046713042
pH,11,KNN,none,0.8744919671699258,32.46868548061977,18.82528165682344,0.776855334210173
pH,11,Ridge,none,0.8610895121072303,34.1583168940458,22.143559493912562,0.8102857937038358
pH,11,MLP,none,0.6679834771390396,52.809103323031195,27.601595639470233,0.7986549632734242
