Seed,Model,Outlier_Mode,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE,N_Train,N_Test
18,KNN,none,0.7400417495605142,0.21352692611281487,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
19,Ridge,winsorize_1_99,0.7834589722610785,0.15806849901264328,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
19,ExtraTrees,winsorize_1_99,0.7762060158945936,0.2232050081400664,0.7235179053443725,83.30577546517988,41.511467246376625,273,69
19,KNN,none,0.8090451937687007,0.10192778002942295,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
20,Ridge,winsorize_1_99,0.7202606378595113,0.11523756714243734,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
20,ExtraTrees,winsorize_1_99,0.6729505564006167,0.2333118720001466,0.7161210536106297,84.4127790179519,41.412075942028785,273,69
20,KNN,none,0.7237039982976567,0.05357868250241563,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
21,Ridge,winsorize_1_99,0.8241116325024567,0.11339262831599242,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
21,ExtraTrees,winsorize_1_99,0.8257912689619212,0.15944728954735082,0.7277530737615954,82.66527188365976,41.05169768115923,273,69
21,KNN,none,0.8334886631323052,0.12591957596292638,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
22,Ridge,winsorize_1_99,0.8035210109855704,0.11865248663875842,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
22,ExtraTrees,winsorize_1_99,0.7918515610501105,0.12807838308934028,0.6990711756769454,86.9107504828981,42.93964753623168,273,69
22,KNN,none,0.8104391738747847,0.09089460851876226,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
23,Ridge,winsorize_1_99,0.7348029768454868,0.20149027799636005,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
23,ExtraTrees,winsorize_1_99,0.6360632198629805,0.3620244341930684,0.7294421346963935,82.40843900771729,41.16459304347809,273,69
23,KNN,none,0.7753362373518907,0.15783209978733034,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
24,Ridge,winsorize_1_99,0.61884742307778,0.43845653672091756,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
24,ExtraTrees,winsorize_1_99,0.6536885951429717,0.3481520493406476,0.7284163888816821,82.56450570467857,41.1129371014491,273,69
24,KNN,none,0.7890169691308936,0.09567281026909438,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
25,Ridge,winsorize_1_99,0.867738710960172,0.0732961322850118,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
25,ExtraTrees,winsorize_1_99,0.8534343727354188,0.05981094556298095,0.7011668699245075,86.60759478476315,42.70156434782589,273,69
25,KNN,none,0.8159908206920395,0.08305440279576343,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
26,Ridge,winsorize_1_99,0.8048456514229162,0.054298991869620526,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
26,ExtraTrees,winsorize_1_99,0.8335488170076613,0.10400090575677641,0.7220331495666001,83.52915904199736,41.766257971014355,273,69
26,KNN,none,0.799073584621811,0.09915817588768645,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
