pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
6.04,62000.0,1800.0,140.0,530000.0,-4.291620451963241,0.1467094006740117,-42.69941497574926,-51.0878549172883,-2.6799187425538853
7.67,49.0,29.611200000000004,9.0,114000.0,-10.435877891309119,-1.4862138314546933,-42.87980355211576,-51.91784650942334,-4.433908055148901
3.28,35000.0,5000.0,8600.0,380000.0,12.27758374811887,-2.9444817321227332,-43.49011132765223,15.417584392444988,-6.446285153116891
6.87,101000.0,1400.0,30.0,830000.0,-9.759410554585127,1.7002137445433398,-44.36406452112236,-53.94183894427905,-1.378395862994894
8.24,19000.0,600.0,54.0,260000.0,-11.260259029626527,-1.6381650046760643,-42.66457977006584,-49.802480291221784,-4.128348125132331
7.98,31000.0,770.0,34.0,420000.0,-11.098901602911955,-1.634247175058034,-42.580460219630275,-50.91697444705746,-3.7987489893236828
7.48,320.0,510.0,22.0,134000.0,-10.29395919656624,-1.491081640417568,-42.67408141052142,-51.73668256971817,-4.429647689682577
8.59,900.0,190.0,20.0,550000.0,-11.452012216787598,-1.4094271883961191,-42.7505886786699,-52.9755749972528,-2.4840705427728205
8.05,160.0,120.0,11.0,120000.0,-10.76696642766325,-1.484118157616588,-42.87467323643734,-51.768790444923326,-4.410479615377114
8.05,20000.0,730.0,12.0,860000.0,-11.488889912866538,-1.5695152134462997,-42.4158037130151,-54.48243772178871,-0.9929250681030836
3.32,17000.0,870.0,2700.0,260000.0,12.707540555769864,-2.1789075139046385,-51.29367266459652,-26.567623434860288,-6.534959208743999
8.23,10000.0,1300.0,28.0,300000.0,-11.060091244527547,-1.6552041372969495,-41.9494031653751,-51.704475255420434,-3.9371846435393376
8.07,26000.0,630.0,12.0,420000.0,-11.00976300919873,-1.6387088414574544,-42.62821273753944,-52.04032150989158,-3.73299383378126
8.42,17000.0,470.0,13.0,580000.0,-11.381475958550233,-1.5198385760555395,-42.577430804245346,-53.33269916446265,-2.3429613802102023
8.64,830.0,300.0,11.0,140000.0,-10.895010408339521,-1.483508987709282,-42.81892036133044,-51.785358334862096,-4.3506206426668355
7.66,62000.0,660.0,14.0,550000.0,-10.89841902360283,-0.09327543148212185,-43.74110453377215,-52.84711532936056,-2.7501211399922068
3.08,79000.0,780.0,48.0,640000.0,12.018046649806823,-0.13501222592287968,-49.94916893516102,-61.55162125808177,-2.5007617612270483
8.09,33000.0,1100.0,14.0,220000.0,-10.847539877889101,-1.6157538425887965,-42.342162571742996,-51.61778996615993,-4.215681981127123
8.14,13000.0,510.0,9.0,430000.0,-11.049738017299017,-1.5680690035976454,-42.603902123648034,-52.46908999229877,-3.548821662753325
8.14,22000.0,560.0,38.0,370000.0,-11.2129068230026,-1.6459467976962194,-42.705724902892996,-50.92902110504311,-3.877681619446484
8.28,3600.0,630.0,9.0,350000.0,-11.045745659165902,-1.5150356492829211,-42.55916729155858,-52.3575949493132,-3.8171360828236174
